timestamp,vibration,temperature
2004.02.13.08.32.39,0.06005,46.77
2004.02.13.08.42.39,0.06055,48.02
2004.02.13.08.52.39,0.06101,46.18
2004.02.13.09.02.39,0.06149,47.51
2004.02.13.09.12.39,0.06133,47.11
2004.02.13.09.22.39,0.06015,48.42
2004.02.13.09.32.39,0.0612,46.54
2004.02.13.09.42.39,0.05939,47.52
2004.02.13.09.52.39,0.06044,46.84
2004.02.13.10.02.39,0.06098,48.42
2004.02.13.10.12.39,0.06027,45.94
2004.02.13.10.22.39,0.06064,46.02
2004.02.13.10.32.39,0.05984,46.9
2004.02.13.10.42.39,0.05976,47.77
2004.02.13.10.52.39,0.06006,48.46
2004.02.13.11.02.39,0.05967,46.56
2004.02.13.11.12.39,0.05992,45.9
2004.02.13.11.22.39,0.06045,46.59
2004.02.13.11.32.39,0.05907,47.04
2004.02.13.11.42.39,0.06199,46.37
2004.02.13.11.52.39,0.06045,46.1
2004.02.13.12.02.39,0.06025,47.33
2004.02.13.12.12.39,0.06039,47.63
2004.02.13.12.22.39,0.06108,46.92
2004.02.13.12.32.39,0.06137,47.83
2004.02.13.12.42.39,0.06201,46.31
2004.02.13.12.52.39,0.06047,47.8
2004.02.13.13.02.39,0.06098,46.36
2004.02.13.13.12.39,0.06028,47.37
2004.02.13.13.22.39,0.0619,47.34
2004.02.13.13.32.39,0.06045,47.72
2004.02.13.13.42.39,0.06086,46.67
2004.02.13.13.52.39,0.06001,47.46
2004.02.13.14.02.39,0.06126,46.54
2004.02.13.14.12.39,0.06061,48.46
2004.02.13.14.22.39,0.06108,47.58
2004.02.13.14.32.39,0.06134,47.85
2004.02.13.14.42.39,0.06114,46.86
2004.02.13.14.52.39,0.06046,48.4
2004.02.13.15.02.39,0.06176,47.67
2004.02.13.15.12.39,0.06003,46.73
2004.02.13.15.22.39,0.0596,48.3
2004.02.13.15.32.39,0.06047,46.31
2004.02.13.15.42.39,0.05973,46.83
2004.02.13.15.52.39,0.06159,48.72
2004.02.13.16.02.39,0.05964,48.33
2004.02.13.16.12.39,0.05942,47.61
2004.02.13.16.22.39,0.06049,47.28
2004.02.13.16.32.39,0.06023,48.45
2004.02.13.16.42.39,0.06019,47.01
2004.02.13.16.52.39,0.05949,46.05
2004.02.13.17.02.39,0.06154,45.82
2004.02.13.17.12.39,0.06007,48.35
2004.02.13.17.22.39,0.06141,46.05
2004.02.13.17.32.39,0.06033,46.56
2004.02.13.17.42.39,0.06182,46.75
2004.02.13.17.52.39,0.05926,46.48
2004.02.13.18.02.39,0.06058,48.19
2004.02.13.18.12.39,0.0596,46.23
2004.02.13.18.22.39,0.06156,48.55
2004.02.13.18.32.39,0.06117,47.53
2004.02.13.18.42.39,0.06098,48.0
2004.02.13.18.52.39,0.06146,47.62
2004.02.13.19.02.39,0.06009,48.34
2004.02.13.19.12.39,0.05994,48.12
2004.02.13.19.22.39,0.05924,47.64
2004.02.13.19.32.39,0.06038,48.18
2004.02.13.19.42.39,0.06047,45.98
2004.02.13.19.52.39,0.06217,47.46
2004.02.13.20.02.39,0.06053,46.65
2004.02.13.20.12.39,0.06018,46.09
2004.02.13.20.22.39,0.06094,45.72
2004.02.13.20.32.39,0.05973,47.53
2004.02.13.20.42.39,0.05966,47.72
2004.02.13.20.52.39,0.05974,46.43
2004.02.13.21.02.39,0.06089,46.91
2004.02.13.21.12.39,0.06045,48.21
2004.02.13.21.22.39,0.06067,48.59
2004.02.13.21.32.39,0.05993,46.67
2004.02.13.21.42.39,0.06167,48.14
2004.02.13.21.52.39,0.06085,46.44
2004.02.13.22.02.39,0.06081,45.77
2004.02.13.22.12.39,0.06198,47.16
2004.02.13.22.22.39,0.06103,47.68
2004.02.13.22.32.39,0.06055,47.56
2004.02.13.22.42.39,0.06129,45.87
2004.02.13.22.52.39,0.06118,46.65
2004.02.13.23.02.39,0.06174,46.71
2004.02.13.23.12.39,0.06118,46.89
2004.02.13.23.22.39,0.06083,47.95
2004.02.13.23.32.39,0.05983,46.96
2004.02.13.23.42.39,0.06107,46.39
2004.02.13.23.52.39,0.061,46.3
2004.02.14.00.02.39,0.06041,47.61
2004.02.14.00.12.39,0.05996,47.85
2004.02.14.00.22.39,0.06019,46.14
2004.02.14.00.32.39,0.06152,48.11
2004.02.14.00.42.39,0.06117,47.61
2004.02.14.00.52.39,0.06086,47.57
2004.02.14.01.02.39,0.06124,46.55
2004.02.14.01.12.39,0.06001,47.31
2004.02.14.01.22.39,0.0615,47.02
2004.02.14.01.32.39,0.06051,48.43
2004.02.14.01.42.39,0.06143,46.87
2004.02.14.01.52.39,0.06187,48.04
2004.02.14.02.02.39,0.06162,47.74
2004.02.14.02.12.39,0.06089,47.76
2004.02.14.02.22.39,0.06074,46.23
2004.02.14.02.32.39,0.06135,48.74
2004.02.14.02.42.39,0.06021,47.91
2004.02.14.02.52.39,0.06088,46.02
2004.02.14.03.02.39,0.05949,47.07
2004.02.14.03.12.39,0.06062,46.49
2004.02.14.03.22.39,0.06127,46.37
2004.02.14.03.32.39,0.05972,47.54
2004.02.14.03.42.39,0.06078,48.62
2004.02.14.03.52.39,0.06006,46.09
2004.02.14.04.02.39,0.06013,47.03
2004.02.14.04.12.39,0.05983,47.99
2004.02.14.04.22.39,0.05994,47.79
2004.02.14.04.32.39,0.06177,45.9
2004.02.14.04.42.39,0.06062,46.96
2004.02.14.04.52.39,0.06033,48.51
2004.02.14.05.02.39,0.06055,48.31
2004.02.14.05.12.39,0.06047,46.64
2004.02.14.05.22.39,0.0608,46.96
2004.02.14.05.32.39,0.0595,46.13
2004.02.14.05.42.39,0.06173,46.5
2004.02.14.05.52.39,0.06114,47.61
2004.02.14.06.02.39,0.06107,47.03
2004.02.14.06.12.39,0.06112,47.37
2004.02.14.06.22.39,0.05974,48.27
2004.02.14.06.32.39,0.05989,46.02
2004.02.14.06.42.39,0.06193,46.63
2004.02.14.06.52.39,0.0615,46.03
2004.02.14.07.02.39,0.06125,46.39
2004.02.14.07.12.39,0.06162,46.52
2004.02.14.07.22.39,0.05983,47.75
2004.02.14.07.32.39,0.06017,46.13
2004.02.14.07.42.39,0.06106,47.97
2004.02.14.07.52.39,0.06152,48.77
2004.02.14.08.02.39,0.06023,47.59
2004.02.14.08.12.39,0.0615,48.3
2004.02.14.08.22.39,0.06153,47.82
2004.02.14.08.32.39,0.06209,47.48
2004.02.14.08.42.39,0.06053,48.14
2004.02.14.08.52.39,0.06178,46.93
2004.02.14.09.02.39,0.06019,48.32
2004.02.14.09.12.39,0.06122,47.89
2004.02.14.09.22.39,0.06075,46.72
2004.02.14.09.32.39,0.06048,47.57
2004.02.14.09.42.39,0.06114,46.75
2004.02.14.09.52.39,0.06159,46.45
2004.02.14.10.02.39,0.05992,46.17
2004.02.14.10.12.39,0.06099,47.84
2004.02.14.10.22.39,0.05991,47.89
2004.02.14.10.32.39,0.0608,45.86
2004.02.14.10.42.39,0.06012,48.39
2004.02.14.10.52.39,0.06086,45.8
2004.02.14.11.02.39,0.06017,47.02
2004.02.14.11.12.39,0.06132,48.12
2004.02.14.11.22.39,0.06055,46.37
2004.02.14.11.32.39,0.0614,45.87
2004.02.14.11.42.39,0.06031,47.11
2004.02.14.11.52.39,0.06176,48.22
2004.02.14.12.02.39,0.06099,46.66
2004.02.14.12.12.39,0.06079,46.9
2004.02.14.12.22.39,0.06141,47.86
2004.02.14.12.32.39,0.06245,46.72
2004.02.14.12.42.39,0.05946,46.3
2004.02.14.12.52.39,0.06074,46.43
2004.02.14.13.02.39,0.05992,45.54
2004.02.14.13.12.39,0.06184,45.87
2004.02.14.13.22.39,0.06069,47.38
2004.02.14.13.32.39,0.06126,47.63
2004.02.14.13.42.39,0.06082,46.05
2004.02.14.13.52.39,0.06,48.08
2004.02.14.14.02.39,0.0611,46.71
2004.02.14.14.12.39,0.06158,46.75
2004.02.14.14.22.39,0.06203,48.1
2004.02.14.14.32.39,0.06158,46.02
2004.02.14.14.42.39,0.06045,48.19
2004.02.14.14.52.39,0.06139,47.51
2004.02.14.15.02.39,0.06082,47.59
2004.02.14.15.12.39,0.06181,48.48
2004.02.14.15.22.39,0.06015,46.58
2004.02.14.15.32.39,0.06074,47.76
2004.02.14.15.42.39,0.06031,48.32
2004.02.14.15.52.39,0.06146,47.96
2004.02.14.16.02.39,0.06159,45.95
2004.02.14.16.12.39,0.06013,47.12
2004.02.14.16.22.39,0.0614,48.05
2004.02.14.16.32.39,0.06145,47.38
2004.02.14.16.42.39,0.0603,47.03
2004.02.14.16.52.39,0.06169,46.35
2004.02.14.17.02.39,0.05989,48.26
2004.02.14.17.12.39,0.0614,47.44
2004.02.14.17.22.39,0.06159,46.04
2004.02.14.17.32.39,0.06106,46.17
2004.02.14.17.42.39,0.06035,47.4
2004.02.14.17.52.39,0.0592,47.94
2004.02.14.18.02.39,0.05946,46.28
2004.02.14.18.12.39,0.06033,47.22
2004.02.14.18.22.39,0.06131,48.3
2004.02.14.18.32.39,0.05926,46.47
2004.02.14.18.42.39,0.06238,47.22
2004.02.14.18.52.39,0.0614,46.69
2004.02.14.19.02.39,0.06193,46.03
2004.02.14.19.12.39,0.06097,47.61
2004.02.14.19.22.39,0.06082,46.63
2004.02.14.19.32.39,0.06048,47.43
2004.02.14.19.42.39,0.0609,47.43
2004.02.14.19.52.39,0.06032,45.63
2004.02.14.20.02.39,0.06147,47.97
2004.02.14.20.12.39,0.06038,47.84
2004.02.14.20.22.39,0.062,46.64
2004.02.14.20.32.39,0.06078,46.31
2004.02.14.20.42.39,0.06076,48.13
2004.02.14.20.52.39,0.05959,46.18
2004.02.14.21.02.39,0.06048,47.95
2004.02.14.21.12.39,0.06077,47.68
2004.02.14.21.22.39,0.06055,47.82
2004.02.14.21.32.39,0.06116,47.23
2004.02.14.21.42.39,0.06,46.53
2004.02.14.21.52.39,0.06182,47.48
2004.02.14.22.02.39,0.06158,48.43
2004.02.14.22.12.39,0.06013,46.0
2004.02.14.22.22.39,0.06093,47.51
2004.02.14.22.32.39,0.06043,47.93
2004.02.14.22.42.39,0.05945,47.64
2004.02.14.22.52.39,0.06061,47.75
2004.02.14.23.02.39,0.06134,46.86
2004.02.14.23.12.39,0.06122,47.65
2004.02.14.23.22.39,0.06043,46.99
2004.02.14.23.32.39,0.06096,46.27
2004.02.14.23.42.39,0.06101,48.31
2004.02.14.23.52.39,0.0606,46.88
2004.02.15.00.02.39,0.06161,48.5
2004.02.15.00.12.39,0.05974,47.22
2004.02.15.00.22.39,0.05927,45.55
2004.02.15.00.32.39,0.0598,46.31
2004.02.15.00.42.39,0.06127,46.92
2004.02.15.00.52.39,0.06143,45.84
2004.02.15.01.02.39,0.06003,47.58
2004.02.15.01.12.39,0.06138,48.42
2004.02.15.01.22.39,0.06081,47.58
2004.02.15.01.32.39,0.06047,47.0
2004.02.15.01.42.39,0.05994,48.26
2004.02.15.01.52.39,0.06178,47.33
2004.02.15.02.02.39,0.06114,47.58
2004.02.15.02.12.39,0.06112,45.73
2004.02.15.02.22.39,0.06076,46.38
2004.02.15.02.32.39,0.05935,45.88
2004.02.15.02.42.39,0.06046,45.85
2004.02.15.02.52.39,0.06012,45.97
2004.02.15.03.02.39,0.05987,45.49
2004.02.15.03.12.39,0.05921,46.69
2004.02.15.03.22.39,0.06147,46.68
2004.02.15.03.32.39,0.06162,46.61
2004.02.15.03.42.39,0.06125,48.58
2004.02.15.03.52.39,0.06141,46.95
2004.02.15.04.02.39,0.06225,46.35
2004.02.15.04.12.39,0.06187,45.99
2004.02.15.04.22.39,0.06089,48.19
2004.02.15.04.32.39,0.06063,47.49
2004.02.15.04.42.39,0.06167,48.5
2004.02.15.04.52.39,0.05881,46.32
2004.02.15.05.02.39,0.06098,46.29
2004.02.15.05.12.39,0.0609,47.31
2004.02.15.05.22.39,0.05943,47.48
2004.02.15.05.32.39,0.06045,46.62
2004.02.15.05.42.39,0.05829,45.43
2004.02.15.05.52.39,0.06083,48.3
2004.02.15.06.02.39,0.06046,48.13
2004.02.15.06.12.39,0.06036,47.36
2004.02.15.06.22.39,0.06002,45.94
2004.02.15.06.32.39,0.0603,48.21
2004.02.15.06.42.39,0.05998,46.96
2004.02.15.06.52.39,0.06074,47.38
2004.02.15.07.02.39,0.06075,47.26
2004.02.15.07.12.39,0.0601,46.37
2004.02.15.07.22.39,0.06008,47.22
2004.02.15.07.32.39,0.0607,47.02
2004.02.15.07.42.39,0.06073,46.94
2004.02.15.07.52.39,0.06063,47.36
2004.02.15.08.02.39,0.06134,47.12
2004.02.15.08.12.39,0.06062,46.08
2004.02.15.08.22.39,0.06036,48.49
2004.02.15.08.32.39,0.06016,48.05
2004.02.15.08.42.39,0.06154,47.27
2004.02.15.08.52.39,0.06079,47.58
2004.02.15.09.02.39,0.0606,45.77
2004.02.15.09.12.39,0.06027,46.08
2004.02.15.09.22.39,0.06125,45.91
2004.02.15.09.32.39,0.06066,47.98
2004.02.15.09.42.39,0.06051,46.71
2004.02.15.09.52.39,0.05988,48.11
2004.02.15.10.02.39,0.06068,47.18
2004.02.15.10.12.39,0.06126,46.47
2004.02.15.10.22.39,0.06124,46.84
2004.02.15.10.32.39,0.06096,46.91
2004.02.15.10.42.39,0.06031,47.21
2004.02.15.10.52.39,0.06129,48.26
2004.02.15.11.02.39,0.06165,47.68
2004.02.15.11.12.39,0.06057,47.63
2004.02.15.11.22.39,0.06018,46.96
2004.02.15.11.32.39,0.06156,45.96
2004.02.15.11.42.39,0.06179,47.64
2004.02.15.11.52.39,0.06082,46.89
2004.02.15.12.02.39,0.06125,48.72
2004.02.15.12.12.39,0.06054,46.45
2004.02.15.12.22.39,0.06053,46.62
2004.02.15.12.32.39,0.06092,47.11
2004.02.15.12.42.39,0.06179,47.77
2004.02.15.12.52.39,0.06165,47.94
2004.02.15.13.02.39,0.06167,48.44
2004.02.15.13.12.39,0.05993,46.69
2004.02.15.13.22.39,0.05995,47.82
2004.02.15.13.32.39,0.06059,46.73
2004.02.15.13.42.39,0.06208,47.17
2004.02.15.13.52.39,0.06075,47.57
2004.02.15.14.02.39,0.06205,47.23
2004.02.15.14.12.39,0.06213,47.21
2004.02.15.14.22.39,0.06188,47.77
2004.02.15.14.32.39,0.06117,47.91
2004.02.15.14.42.39,0.06083,46.11
2004.02.15.14.52.39,0.06281,47.1
2004.02.15.15.02.39,0.062,48.84
2004.02.15.15.12.39,0.06162,46.0
2004.02.15.15.22.39,0.06251,46.67
2004.02.15.15.32.39,0.06145,46.9
2004.02.15.15.42.39,0.06087,47.18
2004.02.15.15.52.39,0.06103,46.41
2004.02.15.16.02.39,0.06001,48.47
2004.02.15.16.12.39,0.06114,47.3
2004.02.15.16.22.39,0.0604,46.33
2004.02.15.16.32.39,0.06163,48.36
2004.02.15.16.42.39,0.05966,45.52
2004.02.15.16.52.39,0.06051,45.88
2004.02.15.17.02.39,0.06094,47.78
2004.02.15.17.12.39,0.06174,46.7
2004.02.15.17.22.39,0.05996,47.37
2004.02.15.17.32.39,0.06206,47.75
2004.02.15.17.42.39,0.06136,47.51
2004.02.15.17.52.39,0.06073,47.74
2004.02.15.18.02.39,0.06109,48.41
2004.02.15.18.12.39,0.06069,45.88
2004.02.15.18.22.39,0.06118,46.36
2004.02.15.18.32.39,0.05951,48.28
2004.02.15.18.42.39,0.06045,46.87
2004.02.15.18.52.39,0.06022,46.51
2004.02.15.19.02.39,0.05955,46.89
2004.02.15.19.12.39,0.0606,46.57
2004.02.15.19.22.39,0.0602,46.7
2004.02.15.19.32.39,0.06028,46.94
2004.02.15.19.42.39,0.05993,46.88
2004.02.15.19.52.39,0.0618,48.43
2004.02.15.20.02.39,0.05911,45.92
2004.02.15.20.12.39,0.0594,47.46
2004.02.15.20.22.39,0.06098,47.44
2004.02.15.20.32.39,0.06108,48.56
2004.02.15.20.42.39,0.06146,47.26
2004.02.15.20.52.39,0.06013,46.7
2004.02.15.21.02.39,0.06126,45.86
2004.02.15.21.12.39,0.06078,45.97
2004.02.15.21.22.39,0.06165,46.01
2004.02.15.21.32.39,0.06072,47.54
2004.02.15.21.42.39,0.06046,47.95
2004.02.15.21.52.39,0.05983,48.45
2004.02.15.22.02.39,0.06113,46.34
2004.02.15.22.12.39,0.06145,48.21
2004.02.15.22.22.39,0.0611,46.18
2004.02.15.22.32.39,0.06256,47.85
2004.02.15.22.42.39,0.06139,48.73
2004.02.15.22.52.39,0.06198,46.04
2004.02.15.23.02.39,0.06239,48.81
2004.02.15.23.12.39,0.06248,47.39
2004.02.15.23.22.39,0.06156,46.43
2004.02.15.23.32.39,0.06119,48.47
2004.02.15.23.42.39,0.06132,46.58
2004.02.15.23.52.39,0.06416,48.44
2004.02.16.00.02.39,0.06075,46.72
2004.02.16.00.12.39,0.06164,46.9
2004.02.16.00.22.39,0.06091,48.46
2004.02.16.00.32.39,0.06163,48.47
2004.02.16.00.42.39,0.06113,47.02
2004.02.16.00.52.39,0.05953,47.57
2004.02.16.01.02.39,0.06153,47.23
2004.02.16.01.12.39,0.06204,48.39
2004.02.16.01.22.39,0.06009,48.25
2004.02.16.01.32.39,0.06157,46.16
2004.02.16.01.42.39,0.0628,48.05
2004.02.16.01.52.39,0.06265,48.37
2004.02.16.02.02.39,0.06299,46.57
2004.02.16.02.12.39,0.06149,45.98
2004.02.16.02.22.39,0.06205,46.8
2004.02.16.02.32.39,0.0617,48.28
2004.02.16.02.42.39,0.06129,47.25
2004.02.16.02.52.39,0.0627,47.49
2004.02.16.03.02.39,0.06087,45.95
2004.02.16.03.12.39,0.06464,48.02
2004.02.16.03.22.39,0.06621,46.79
2004.02.16.03.32.39,0.06648,49.28
2004.02.16.03.42.39,0.06558,49.0
2004.02.16.03.52.39,0.06542,46.72
2004.02.16.04.02.39,0.06627,48.81
2004.02.16.04.12.39,0.06762,47.46
2004.02.16.04.22.39,0.06647,47.61
2004.02.16.04.32.39,0.06514,48.13
2004.02.16.04.42.39,0.06574,49.01
2004.02.16.04.52.39,0.06611,49.46
2004.02.16.05.02.39,0.06716,49.63
2004.02.16.05.12.39,0.06633,47.79
2004.02.16.05.22.39,0.06813,49.91
2004.02.16.05.32.39,0.06659,49.64
2004.02.16.05.42.39,0.0672,48.04
2004.02.16.05.52.39,0.06827,48.77
2004.02.16.06.02.39,0.06851,47.2
2004.02.16.06.12.39,0.06884,48.18
2004.02.16.06.22.39,0.06741,49.86
2004.02.16.06.32.39,0.06704,47.39
2004.02.16.06.42.39,0.06806,47.99
2004.02.16.06.52.39,0.06881,47.68
2004.02.16.07.02.39,0.0693,47.99
2004.02.16.07.12.39,0.06746,48.0
2004.02.16.07.22.39,0.07014,48.88
2004.02.16.07.32.39,0.06725,47.85
2004.02.16.07.42.39,0.06929,50.23
2004.02.16.07.52.39,0.06977,48.24
2004.02.16.08.02.39,0.06872,47.6
2004.02.16.08.12.39,0.06866,49.75
2004.02.16.08.22.39,0.06981,48.95
2004.02.16.08.32.39,0.0678,48.08
2004.02.16.08.42.39,0.06925,49.53
2004.02.16.08.52.39,0.06867,48.06
2004.02.16.09.02.39,0.06817,49.29
2004.02.16.09.12.39,0.06807,47.58
2004.02.16.09.22.39,0.06942,47.92
2004.02.16.09.32.39,0.06905,49.82
2004.02.16.09.42.39,0.0704,48.31
2004.02.16.09.52.39,0.06929,49.14
2004.02.16.10.02.39,0.06865,49.21
2004.02.16.10.12.39,0.07003,49.3
2004.02.16.10.22.39,0.06995,48.31
2004.02.16.10.32.39,0.06879,48.26
2004.02.16.10.42.39,0.06929,49.63
2004.02.16.10.52.39,0.07017,50.26
2004.02.16.11.02.39,0.07107,48.83
2004.02.16.11.12.39,0.07036,49.98
2004.02.16.11.22.39,0.07154,48.25
2004.02.16.11.32.39,0.07035,49.41
2004.02.16.11.42.39,0.07169,50.15
2004.02.16.11.52.39,0.06949,48.06
2004.02.16.12.02.39,0.07039,50.51
2004.02.16.12.12.39,0.07124,49.74
2004.02.16.12.22.39,0.07176,48.26
2004.02.16.12.32.39,0.0702,50.19
2004.02.16.12.42.39,0.07143,49.07
2004.02.16.12.52.39,0.0709,48.69
2004.02.16.13.02.39,0.07018,50.09
2004.02.16.13.12.39,0.07028,49.38
2004.02.16.13.22.39,0.0715,48.09
2004.02.16.13.32.39,0.07206,48.44
2004.02.16.13.42.39,0.07061,49.23
2004.02.16.13.52.39,0.07165,49.87
2004.02.16.14.02.39,0.07124,49.69
2004.02.16.14.12.39,0.07097,49.95
2004.02.16.14.22.39,0.07117,50.22
2004.02.16.14.32.39,0.07122,49.33
2004.02.16.14.42.39,0.073,48.26
2004.02.16.14.52.39,0.07208,49.68
2004.02.16.15.02.39,0.07155,50.46
2004.02.16.15.12.39,0.07148,48.0
2004.02.16.15.22.39,0.07319,49.86
2004.02.16.15.32.39,0.07248,48.49
2004.02.16.15.42.39,0.07283,50.46
2004.02.16.15.52.39,0.0738,49.05
2004.02.16.16.02.39,0.07424,51.12
2004.02.16.16.12.39,0.07492,51.22
2004.02.16.16.22.39,0.07381,49.87
2004.02.16.16.32.39,0.07385,49.73
2004.02.16.16.42.39,0.07453,49.29
2004.02.16.16.52.39,0.0752,49.95
2004.02.16.17.02.39,0.0751,49.2
2004.02.16.17.12.39,0.07355,50.37
2004.02.16.17.22.39,0.0741,50.29
2004.02.16.17.32.39,0.07414,48.55
2004.02.16.17.42.39,0.07373,48.93
2004.02.16.17.52.39,0.07226,48.73
2004.02.16.18.02.39,0.07661,51.11
2004.02.16.18.12.39,0.07393,49.98
2004.02.16.18.22.39,0.07422,50.32
2004.02.16.18.32.39,0.07532,49.53
2004.02.16.18.42.39,0.07502,48.74
2004.02.16.18.52.39,0.07484,51.37
2004.02.16.19.02.39,0.07483,50.28
2004.02.16.19.12.39,0.07459,48.95
2004.02.16.19.22.39,0.07451,50.38
2004.02.16.19.32.39,0.07259,50.8
2004.02.16.19.42.39,0.07594,50.85
2004.02.16.19.52.39,0.07557,50.57
2004.02.16.20.02.39,0.07305,50.46
2004.02.16.20.12.39,0.0749,48.56
